,reproCost,radiusCost,energyQuantity,maxMutate,growthRate,rescDensity,basalEnergyCost,0.025,0.25,0.5,0.75,0.975
3,0.5,0.1,0.30000000000000004,0.25,0.5,1.5,0.05,0.28842987499999995,0.5873719999999999,0.7556769999999999,0.94758025,1.30681225
4,0.5,0.1,0.4,0.25,0.5,1.5,0.05,0.243355,0.5270855,0.687615,0.86426275,1.21712625
5,0.5,0.1,0.5,0.25,0.5,1.5,0.05,0.22468285,0.5075385,0.672375,0.8482335000000001,1.2086733
6,0.5,0.1,0.6000000000000001,0.25,0.5,1.5,0.05,0.2260913,0.490866,0.6368235,0.7901,1.1129762249999977
7,0.5,0.1,0.7000000000000001,0.25,0.5,1.5,0.05,0.2415865,0.511703,0.664713,0.833219,1.1951065
8,0.5,0.1,0.8,0.25,0.5,1.5,0.05,0.234240975,0.50594625,0.6651545000000001,0.8375917500000001,1.2047400249999998
9,0.5,0.1,0.9,0.25,0.5,1.5,0.05,0.2377858000000001,0.5124477499999999,0.6727194999999999,0.8479372500000001,1.2126521
10,0.5,0.1,1.0,0.25,0.5,1.5,0.05,0.26968895,0.53643975,0.6933365,0.867402,1.235443025
11,0.5,0.1,1.1,0.25,0.5,1.5,0.05,0.30293995,0.546921,0.6892795,0.8510072499999999,1.1994153250000004
12,0.5,0.1,1.2000000000000002,0.25,0.5,1.5,0.05,0.331363,0.57734175,0.722765,0.890819,1.2549492750000002
13,0.5,0.1,1.3,0.25,0.5,1.5,0.05,0.349168,0.591938,0.7373395,0.910835,1.2762141000000002
14,0.5,0.1,1.4,0.25,0.5,1.5,0.05,0.364694,0.6072485,0.7525445,0.928282,1.3057693750000003
0,0.5,0.1,1.0,0.25,0.0,1.5,0.05,0.0,0.0,0.0,0.0,0.0
1,0.5,0.1,1.0,0.25,0.05,1.5,0.05,0.0,0.0,0.0,0.0,0.0
2,0.5,0.1,1.0,0.25,0.1,1.5,0.05,0.0,0.0,0.0,0.0,0.0
3,0.5,0.1,1.0,0.25,0.15000000000000002,1.5,0.05,0.0,0.0,0.0,0.0,0.0
4,0.5,0.1,1.0,0.25,0.2,1.5,0.05,0.0,0.0,0.0,0.0,0.0
5,0.5,0.1,1.0,0.25,0.25,1.5,0.05,0.0,0.0,0.0,1.2192705,1.63708565
6,0.5,0.1,1.0,0.25,0.30000000000000004,1.5,0.05,0.0,0.0,0.0,0.0,0.0
7,0.5,0.1,1.0,0.25,0.35000000000000003,1.5,0.05,0.0,0.0,0.0,0.0,0.0
8,0.5,0.1,1.0,0.25,0.4,1.5,0.05,0.0,0.0,0.0,0.0,0.0
